PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
39880799,Biocatalytic diversification of abietic acid in Streptomyces,"McCadden CA, Alsup TA, Ghiviriga I, Rudolf JD.",J Ind Microbiol Biotechnol. 2025 Jan 29:kuaf003. doi: 10.1093/jimb/kuaf003. Online ahead of print.,McCadden CA,J Ind Microbiol Biotechnol,2025,2025/1/29,,,10.1093/jimb/kuaf003
39854934,Cytochrome P450 electrochemical biosensors transforming in vitro metabolism testing - Opportunities and challenges,"Vieira CSP, Segundo MA, Araújo AN.",Bioelectrochemistry. 2025 Jan 21;163:108913. doi: 10.1016/j.bioelechem.2025.108913. Online ahead of print.,Vieira CSP,Bioelectrochemistry,2025,2025/1/24,,,10.1016/j.bioelechem.2025.108913
39818795,"Selective Synthesis of Cyclopeptides with a 2-Oxindole or 3a-Hydroxy-hexahydropyrrolo-[2,3-b]indole Structure by Cytochrome P450 Enzymes","Li C, Ma J, Guo L, Xu C, Zhong Z, Li P, Tang Y, Wang W, Li D, Ye T, Guo Z, Chen Y.",J Am Chem Soc. 2025 Jan 29;147(4):3304-3314. doi: 10.1021/jacs.4c13535. Epub 2025 Jan 16.,Li C,J Am Chem Soc,2025,2025/1/17,,,10.1021/jacs.4c13535
39565887,Valbenazine Therapy and CYP2D6 Genotype,Kane M.,"2024 Nov 13 [updated 2025 Jan 17]. In: Pratt VM, Scott SA, Pirmohamed M, Esquivel B, Kattman BL, Malheiro AJ, editors. Medical Genetics Summaries [Internet]. Bethesda (MD): National Center for Biotechnology Information (US); 2012–.",Kane M,Medical Genetics Summaries,2012,2025/1/17,,,
39761705,Enhanced expression of Cyp17a1 and production of DHEA-S in the liver of late-pregnant rats,"Ohtsuki Y, Fujiki J, Maeda N, Iwano H.",Gen Comp Endocrinol. 2025 Jan 4;362:114661. doi: 10.1016/j.ygcen.2025.114661. Online ahead of print.,Ohtsuki Y,Gen Comp Endocrinol,2025,2025/1/6,,,10.1016/j.ygcen.2025.114661
39731893,"Co-metabolism of Norfloxacin by Chlorella pyrenoidosa: Carbon source effects, biotransformation mechanisms, and key driving genes","Wu H, Xiong Q, Wang Y, Xie F, Ma J, Tang Q, Chen Y, Sun Y, Li H, Liu Y, Ying G.",J Hazard Mater. 2024 Dec 24;486:136971. doi: 10.1016/j.jhazmat.2024.136971. Online ahead of print.,Wu H,J Hazard Mater,2024,2024/12/28,,,10.1016/j.jhazmat.2024.136971
39682707,Human Cytochrome P450 Cancer-Related Metabolic Activities and Gene Polymorphisms: A Review,"Mokhosoev IM, Astakhov DV, Terentiev AA, Moldogazieva NT.",Cells. 2024 Nov 26;13(23):1958. doi: 10.3390/cells13231958.,Mokhosoev IM,Cells,2024,2024/12/17,PMC11639897,,10.3390/cells13231958
39680044,Water Migration through Enzyme Tunnels Is Sensitive to the Choice of Explicit Water Model,"Thirunavukarasu AS, Szleper K, Tanriver G, Marchlewski I, Mitusinska K, Gora A, Brezovsky J.",J Chem Inf Model. 2025 Jan 13;65(1):326-337. doi: 10.1021/acs.jcim.4c01177. Epub 2024 Dec 16.,Thirunavukarasu AS,J Chem Inf Model,2025,2024/12/16,PMC11733929,,10.1021/acs.jcim.4c01177
39648448,"Discovery and Functional Identification of 2,3-Oxidosqualene Cyclases and Cytochrome P450s in Triterpenoid Metabolic Pathways of Actinidia eriantha","Yang T, Chen J, Shi N, Fan B, Yi R, Liang S, Ji A, Liu Z, Li C, Wang Q, Duan L.",J Agric Food Chem. 2024 Dec 18;72(50):27902-27911. doi: 10.1021/acs.jafc.4c06937. Epub 2024 Dec 8.,Yang T,J Agric Food Chem,2024,2024/12/9,,,10.1021/acs.jafc.4c06937
39624981,An Electrochemical Pipette for the Study of Drug Metabolite,"Nikzad N, Punchihewa BT, Minda V, Gutheil WG, Rafiee M.",Anal Chem. 2024 Dec 17;96(50):20026-20032. doi: 10.1021/acs.analchem.4c04712. Epub 2024 Dec 3.,Nikzad N,Anal Chem,2024,2024/12/3,,,10.1021/acs.analchem.4c04712
39462891,"(+)-3,6-Epoxymaaliane: A Novel Derivative of (+)-Bicyclogermacrene Oxidation Catalyzed by CYP450 BM3-139-3 and Its Variants","Xu K, Huang ZY, Sun CY, Pan J, Li CX, Xu JH.",Chembiochem. 2024 Nov 18;25(22):e202400410. doi: 10.1002/cbic.202400410. Epub 2024 Oct 27.,Xu K,Chembiochem,2024,2024/10/28,,,10.1002/cbic.202400410
39409193,Solid-State Nanopore-Based Nanosystem for Registration of Enzymatic Activity of a Single Molecule of Cytochrome P450 BM3,"Ivanov YD, Vinogradova AV, Nevedrova ED, Ableev AN, Kozlov AF, Shumov ID, Ziborov VS, Afonin ON, Vaulin NV, Lebedev DV, Bukatin AS, Afonicheva PK, Mukhin IS, Usanov SA, Archakov AI.",Int J Mol Sci. 2024 Oct 9;25(19):10864. doi: 10.3390/ijms251910864.,Ivanov YD,Int J Mol Sci,2024,2024/10/16,PMC11477413,,10.3390/ijms251910864
39361917,In Vitro Characterization of Kitasetaline Biosynthesis Reveals a Bifunctional P450 Decarboxylase and a Vinyl β-Carboline Intermediate Susceptible to Nonenzymatic Thiol Addition,"Zheng Z, Choi H, Liu HW.",J Am Chem Soc. 2024 Oct 3. doi: 10.1021/jacs.4c11552. Online ahead of print.,Zheng Z,J Am Chem Soc,2024,2024/10/3,,,10.1021/jacs.4c11552
